Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),O3 (ppb),SR (kW/m2)
2022-01-01 00:00:00,4.73,53.0,46.1,9.0,0.0
2022-01-01 06:00:00,2.78,27.7,39.60000000000001,3.0,0.0
2022-01-01 12:00:00,0.84,4.0,7.1,23.0,0.526
2022-01-01 18:00:00,0.97,4.3,19.5,31.0,0.007000000000000006
2022-01-02 00:00:00,3.2,106.5,40.4,4.0,0.0
2022-01-02 06:00:00,0.72,2.6,4.9,32.0,0.0
2022-01-02 12:00:00,0.79,4.6,7.0,27.0,0.538
2022-01-02 18:00:00,0.85,3.900000000000001,12.0,30.0,0.009000000000000008
2022-01-03 00:00:00,0.81,3.0,13.8,28.0,0.001799999999999996
2022-01-03 06:00:00,0.8,3.1,13.3,28.0,0.0
2022-01-03 12:00:00,0.84,6.9,12.4,38.0,0.542
2022-01-03 18:00:00,0.8700000000000001,5.2,15.1,36.0,0.008000000000000007
2022-01-04 00:00:00,0.86,4.0,15.4,27.0,0.0
2022-01-04 06:00:00,0.93,5.5,30.2,10.0,0.0
2022-01-04 12:00:00,1.27,22.1,35.1,25.0,0.507
2022-01-04 18:00:00,1.18,3.8,30.3,45.0,0.01000000000000001
2022-01-05 00:00:00,4.27,160.9,66.4,4.0,0.0
2022-01-05 06:00:00,2.1,72.2,54.8,7.599999999999998,0.0
2022-01-05 12:00:00,1.8,21.1,49.9,22.0,0.549
2022-01-05 18:00:00,1.08,7.8,29.5,50.0,0.009000000000000008
2022-01-06 00:00:00,2.83,85.1,57.1,4.0,0.0
2022-01-06 06:00:00,1.8,43.7,54.7,7.199999999999999,0.0
2022-01-06 12:00:00,1.41,10.7,37.40000000000001,44.0,0.537
2022-01-06 18:00:00,1.12,4.6,25.0,53.0,0.01100000000000001
2022-01-07 00:00:00,1.24,5.1,33.3,26.0,0.0
2022-01-07 06:00:00,0.9100000000000001,3.1,17.5,18.0,0.0
2022-01-07 12:00:00,1.17,8.3,17.5,20.0,0.144
2022-01-07 18:00:00,1.45,22.9,39.8,4.0,0.001000000000000001
2022-01-08 00:00:00,1.15,3.900000000000001,15.2,14.0,0.0
2022-01-08 06:00:00,1.19,16.7,27.2,2.0,0.0
2022-01-08 12:00:00,1.57,13.6,32.2,29.0,0.497
2022-01-08 18:00:00,1.87,8.0,49.8,82.0,0.033
2022-01-09 00:00:00,3.45,65.1,34.3,3.0,0.0
2022-01-09 06:00:00,3.48,103.8,47.5,5.199999999999999,0.0
2022-01-09 12:00:00,1.32,4.5,18.6,45.0,0.502
2022-01-09 18:00:00,1.18,3.7,10.7,34.0,0.01899999999999999
2022-01-10 00:00:00,0.89,3.0,9.5,30.0,0.0
2022-01-10 06:00:00,0.84,3.1,9.3,22.0,0.0
2022-01-10 12:00:00,0.94,7.22,13.3,18.0,0.09
2022-01-10 18:00:00,1.01,4.3,16.0,20.0,0.004000000000000004
2022-01-11 00:00:00,0.9100000000000001,3.0,11.7,21.0,0.0
2022-01-11 06:00:00,0.8700000000000001,2.9,15.3,21.0,0.0
2022-01-11 12:00:00,1.32,20.3,29.2,11.0,0.129
2022-01-11 18:00:00,1.01,5.4,15.7,39.0,0.03700000000000001
2022-01-12 00:00:00,1.13,4.9,22.8,19.0,0.0
2022-01-12 06:00:00,1.3,84.0,39.8,3.0,0.0
2022-01-12 12:00:00,1.57,18.9,33.0,14.0,0.165
2022-01-12 18:00:00,1.56,11.4,44.2,17.0,0.026
2022-01-13 00:00:00,1.72,37.3,37.40000000000001,3.0,0.0
2022-01-13 06:00:00,2.14,126.4,40.7,11.0,0.0
2022-01-13 12:00:00,1.65,23.8,48.0,23.0,0.529
2022-01-13 18:00:00,1.55,8.3,43.1,48.0,0.01100000000000001
2022-01-14 00:00:00,1.77,17.2,60.4,6.0,0.0
2022-01-14 06:00:00,2.4,90.6,47.3,6.999999999999996,0.0
2022-01-14 12:00:00,1.66,15.0,43.5,38.0,0.526
2022-01-14 18:00:00,1.3,6.700000000000001,29.2,65.0,0.01200000000000001
2022-01-15 00:00:00,4.94,218.4,76.8,4.0,0.0
2022-01-15 06:00:00,1.452,3.6,7.260000000000002,18.2,0.0
2022-01-15 12:00:00,0.1299999999999999,0.5999999999999996,1.1,4.0,0.061
2022-01-15 18:00:00,0.99,4.3,12.3,33.0,0.01499999999999999
2022-01-16 00:00:00,1.09,4.1,17.8,22.0,0.0
2022-01-16 06:00:00,0.97,2.6,17.4,18.0,0.0
2022-01-16 12:00:00,1.06,10.8,16.2,34.0,0.541
2022-01-16 18:00:00,1.1,6.0,14.3,43.0,0.01200000000000001
2022-01-17 00:00:00,1.91,33.5,43.4,4.0,0.0
2022-01-17 06:00:00,1.6,27.1,36.6,3.199999999999999,0.0
2022-01-17 12:00:00,2.25,53.0,77.8,17.0,0.547
2022-01-17 18:00:00,1.02,4.7,19.5,63.0,0.01400000000000001
2022-01-18 00:00:00,1.08,3.900000000000001,23.3,20.0,0.0
2022-01-18 06:00:00,1.3,37.5,36.7,2.0,0.0
2022-01-18 12:00:00,1.452,3.6,7.260000000000002,18.2,0.0
2022-01-18 18:00:00,1.452,3.6,7.260000000000002,18.2,0.0
2022-01-19 00:00:00,1.452,3.6,7.260000000000002,18.2,0.0
2022-01-19 06:00:00,1.452,3.6,7.260000000000002,18.2,0.0
2022-01-19 12:00:00,1.452,3.6,7.260000000000002,18.2,0.0
2022-01-19 18:00:00,1.23,7.5,21.8,23.0,0.073
2022-01-20 00:00:00,1.37,12.5,37.5,7.0,0.0
2022-01-20 06:00:00,0.9100000000000001,4.7,9.8,29.0,0.0
2022-01-20 12:00:00,0.88,5.6,8.7,23.0,0.36
2022-01-20 18:00:00,0.89,5.0,12.3,20.0,0.01799999999999999
2022-01-21 00:00:00,0.81,3.6,10.5,22.0,0.0
2022-01-21 06:00:00,0.8700000000000001,3.7,9.1,17.0,0.0
2022-01-21 12:00:00,0.98,9.0,13.4,16.0,0.139
2022-01-21 18:00:00,1.31,14.4,29.0,10.0,0.035
2022-01-22 00:00:00,1.07,5.9,15.0,8.0,0.0
2022-01-22 06:00:00,0.92,3.900000000000001,13.0,17.0,0.0
2022-01-22 12:00:00,1.13,9.5,18.9,17.0,0.104
2022-01-22 18:00:00,1.23,13.7,27.0,8.0,0.01000000000000001
2022-01-23 00:00:00,1.12,6.0,20.1,5.0,0.0
2022-01-23 06:00:00,0.98,4.4,11.3,14.0,0.0
2022-01-23 12:00:00,1.08,6.5,11.5,21.0,0.08
2022-01-23 18:00:00,1.23,5.9,17.8,15.0,0.001000000000000001
2022-01-24 00:00:00,1.21,6.8,14.2,13.0,0.0
2022-01-24 06:00:00,1.08,7.0,16.3,6.0,0.0
2022-01-24 12:00:00,1.25,24.4,18.7,6.0,0.076
2022-01-24 18:00:00,2.97,62.7,37.5,3.0,0.01400000000000001
2022-01-25 00:00:00,3.23,152.1,29.3,6.000000000000004,0.0
2022-01-25 06:00:00,1.69,66.3,23.3,14.8,0.0
2022-01-25 12:00:00,1.35,19.6,18.3,23.0,0.536
2022-01-25 18:00:00,1.25,9.2,20.3,45.0,0.074
2022-01-26 00:00:00,1.12,7.5,13.7,28.0,0.0
2022-01-26 06:00:00,1.03,5.6,9.8,27.0,0.0
2022-01-26 12:00:00,1.31,11.6,14.8,19.0,0.109
2022-01-26 18:00:00,1.37,12.4,19.9,13.0,0.01799999999999999
2022-01-27 00:00:00,1.32,8.5,29.3,8.0,0.0
2022-01-27 06:00:00,1.11,8.9,20.6,3.0,0.0
2022-01-27 12:00:00,1.47,18.4,17.9,13.0,0.091
