Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),O3 (ppb),SR (kW/m2)
2025-01-01 00:00:00,1.75,5.9,14.1,21.0,0.004999999999999977
2025-01-01 06:00:00,1.43,5.4,12.9,21.0,0.0
2025-01-01 12:00:00,1.23,6.1,7.799999999999999,42.0,0.296
2025-01-01 18:00:00,1.38,7.0,11.4,33.0,0.01200000000000001
2025-01-02 00:00:00,1.31,6.4,8.9,28.0,0.09820000000000001
2025-01-02 06:00:00,1.22,7.9,8.3,18.0,0.0
2025-01-02 12:00:00,1.46,12.8,14.8,21.0,0.355
2025-01-02 18:00:00,1.5,8.1,20.4,37.0,0.151
2025-01-03 00:00:00,1.85,16.1,30.3,5.0,0.0
2025-01-03 06:00:00,1.65,32.5,20.6,3.0,0.0
2025-01-03 12:00:00,1.88,39.6,30.5,9.999999999999996,0.207
2025-01-03 18:00:00,1.53,6.7,14.7,34.0,0.02499999999999999
2025-01-04 00:00:00,1.39,7.3,9.599999999999998,16.0,0.0
2025-01-04 06:00:00,1.31,6.1,8.5,11.0,0.0
2025-01-04 12:00:00,1.38,10.3,12.1,20.0,0.204
2025-01-04 18:00:00,1.49,6.9,12.2,29.0,0.03599999999999999
2025-01-05 00:00:00,1.84,13.3,19.4,9.0,0.0
2025-01-05 06:00:00,1.57,12.5,20.8,3.0,0.0
2025-01-05 12:00:00,1.69,11.4,18.9,36.0,0.461
2025-01-05 18:00:00,1.31,5.2,10.4,35.0,0.027
2025-01-06 00:00:00,1.27,4.7,11.8,28.0,0.0
2025-01-06 06:00:00,0.93,3.9,6.699999999999999,24.0,0.0
2025-01-06 12:00:00,0.97,7.2,6.800000000000001,23.0,0.465
2025-01-06 18:00:00,1.14,7.6,14.1,30.0,0.043
2025-01-07 00:00:00,1.03,4.1,9.9,28.0,0.0
2025-01-07 06:00:00,0.97,7.1,8.7,31.0,0.0
2025-01-07 12:00:00,1.08,7.4,11.5,35.0,0.347
2025-01-07 18:00:00,1.06,5.2,12.5,33.0,0.01799999999999999
2025-01-08 00:00:00,0.98,4.0,11.5,30.0,0.01919999999999999
2025-01-08 06:00:00,0.97,3.4,9.3,30.0,0.0
2025-01-08 12:00:00,1.08,5.8,12.1,24.0,0.05499999999999999
2025-01-08 18:00:00,1.16,5.0,14.4,20.0,0.001000000000000001
