Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),O3 (ppb),SR (kW/m2)
2025-01-01 00:00:00,2.16,2.5,3.9,33.0,0.05879999999999999
2025-01-01 06:00:00,1.99,2.7,4.3,25.0,0.0
2025-01-01 12:00:00,1.88,2.4,2.6,46.0,0.174
2025-01-01 18:00:00,1.79,3.1,5.1,31.0,0.009999999999999995
2025-01-02 00:00:00,1.83,2.3,2.5,34.0,0.0
2025-01-02 06:00:00,1.78,2.5,4.8,25.0,0.001000000000000001
2025-01-02 12:00:00,1.85,5.7,6.9,22.0,0.152
2025-01-02 18:00:00,1.9,2.1,5.8,47.0,0.029
2025-01-03 00:00:00,2.33,40.60000000000001,7.7,12.0,0.001000000000000001
2025-01-03 06:00:00,2.43,38.10000000000001,7.8,19.4,0.001000000000000001
2025-01-03 12:00:00,2.29,9.2,10.0,20.0,0.181
2025-01-03 18:00:00,2.04,4.7,6.3,26.0,0.02200000000000001
2025-01-04 00:00:00,2.04,3.7,4.0,18.0,0.001000000000000001
2025-01-04 06:00:00,1.86,2.26,2.2,19.0,0.001000000000000001
2025-01-04 12:00:00,1.84,3.0,2.3,31.0,0.142
2025-01-04 18:00:00,1.91,4.6,7.2,27.0,0.029
2025-01-05 00:00:00,2.66,9.6,6.8,15.6,0.001000000000000001
2025-01-05 06:00:00,2.2,2.1,5.1,17.0,0.001000000000000001
2025-01-05 12:00:00,2.21,5.6,9.8,38.0,0.071
2025-01-05 18:00:00,2.01,4.6,7.2,29.0,0.027
2025-01-06 00:00:00,2.1,2.6,4.5,37.0,0.001000000000000001
2025-01-06 06:00:00,1.82,5.9,6.1,21.0,0.001000000000000001
2025-01-06 12:00:00,1.79,4.2,2.6,30.0,0.112
2025-01-06 18:00:00,1.79,2.4,3.5,37.0,0.035
2025-01-07 00:00:00,1.83,4.3,6.9,22.0,0.001000000000000001
2025-01-07 06:00:00,1.75,6.2,7.6,24.0,0.001000000000000001
2025-01-07 12:00:00,1.78,3.2,3.1,42.0,0.174
2025-01-07 18:00:00,1.81,2.2,3.3,42.0,0.02
2025-01-08 00:00:00,1.79,2.1,2.1,38.0,0.001000000000000001
2025-01-08 06:00:00,1.71,2.24,2.7,35.0,0.001000000000000001
2025-01-08 12:00:00,1.79,2.8,4.0,31.0,0.057
2025-01-08 18:00:00,1.81,7.5,9.2,17.0,0.012
2025-01-09 00:00:00,1.85,2.7,2.9,28.0,0.001000000000000001
2025-01-09 06:00:00,1.8,5.1,4.9,20.0,0.001000000000000001
2025-01-09 12:00:00,1.88,4.6,4.6,18.0,0.04699999999999999
