Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (¼C),WSR (km/h),WDR (azimutal)
2022-01-01 00:00:00,5.1,83.1,58.2,141.4,12,293,259,706.2,0,60,6.1,0,22.17,1.3,290
2022-01-01 06:00:00,1.52,17.3,39.3,56.5,5,274,111,705.4,0,56,6.5,0,19.53,6.3,233
2022-01-01 12:00:00,0.46,7.9,9.1,17,27,49,22,707.5,0,15,5.7,0.345,33.73,10,301
2022-01-01 18:00:00,0.43,4.1,16,20.1,40,30,20,706.3,0,13,5.3,0.044,32.87,7.8,202
2022-01-02 00:00:00,1.19,61.8,39.5,101.2,6,56,16,709,0,23,6.5,0,23.14,4,226
2022-01-02 06:00:00,0.33,6,5.8,11.8,34,172,5,715,0,22,4.9,0,18.57,21.1,6
2022-01-02 12:00:00,0.45,14.9,10,24.9,27,103,4,722.2,0,30,6,0.349,11.97,15.4,17
2022-01-02 18:00:00,0.55,13.4,14.7,28.1,28.8,60,9,722.1,0,23,5.8,0.046,12.76,15.6,9
2022-01-03 00:00:00,0.47,9.6,16.6,26.1,28,18,3,724.9,0,21,5.4,0,9.02,9,357
2022-01-03 06:00:00,0.61,29.2,33.2,62.4,10,33,10,723.9,0,31,5.5,0,6.34,5.7,3
2022-01-03 12:00:00,0.57,17.4,21.4,38.7,33,42,20,724.3,0,24,6.4,0.352,11.54,9.9,64
2022-01-03 18:00:00,0.51,6.9,21.6,28.5,29,31,12,720.2,0,21,5,0.048,14.51,10.5,89
2022-01-04 00:00:00,0.5,3.7,16.8,20.5,29,23,10,719.6,0,29,4.4,0,9.81,8.6,88
2022-01-04 06:00:00,0.63,31.6,38.2,69.8,6,62,19,718.4,0,43,7.8,0,6.79,4.5,262
2022-01-04 12:00:00,0.97,31.3,40.2,71.4,24,79,38,717,0,22,9.9,0.334,16.94,6.5,138
2022-01-04 18:00:00,0.92,9.4,48,57.3,29,82,21,713.5,0,24,6.9,0.042,21.03,6.1,72
2022-01-05 00:00:00,3.06,157.5,67.5,224.9,7,149,58,713.9,0,42,7.2,0,13.2,2.9,249
2022-01-05 06:00:00,1.16,31,51.2,82.1,5,133,41,712,0,35,9.7,0,13.19,8.9,234
2022-01-05 12:00:00,1.1,30.9,44,74.8,26,103,29,712,0,9,7.2,0.358,27.04,4.5,235
2022-01-05 18:00:00,0.68,4.6,31.5,36.1,46,86,19,709.6,0,16,10.9,0.046,25.96,10.5,100
2022-01-06 00:00:00,1.34,53.8,63.7,117.4,4,109,11,710.9,0,32,10.8,0,17.86,4.6,220
2022-01-06 06:00:00,1,12.4,51.7,63.9,6,184,37,710.7,0,32,9.2,0,16.19,9.5,222
2022-01-06 12:00:00,1.26,25.5,44.2,69.6,41,125,28,712.6,0,16,8.8,0.352,26.33,6.6,310
2022-01-06 18:00:00,0.75,4.1,38,42,70,99,26,711.4,0,15,10.2,0.043,27.32,9.6,96
2022-01-07 00:00:00,1.44,62.4,63.9,126.3,5,106,18,714.3,0,40,6.9,0,20.09,4.8,38
2022-01-07 06:00:00,0.62,28.3,26.3,54.6,15,39,5,715,0,53,4.9,0,13.54,9.6,35
2022-01-07 12:00:00,1.26,50.1,31.3,81.4,12,58,15,716.6,0,69,5,0.18,13.18,5.9,11
2022-01-07 18:00:00,1.34,61.2,45.7,106.8,5,87,27,713.4,0,75,5.3,0.009,13.07,8,51
2022-01-08 00:00:00,0.8,16.7,27.2,43.9,5,71,14,713.5,0,74,4.7,0,11.73,5,48
2022-01-08 06:00:00,1.12,51.5,30.7,82.2,8.4,100,28,712.3,0,73,5.1,0,12.45,3.9,21
2022-01-08 12:00:00,2.1,57.4,67.2,124.5,18,190,78,713.4,0,52,10.3,0.321,20.86,4,109
2022-01-08 18:00:00,1.35,9.6,69.4,78.7,54,102,30,711.9,0,48,10.7,0.035,22.62,6.6,45
2022-01-09 00:00:00,2.22,53.7,54.1,107.7,5,90,33,714.3,0,78,5.1,0,16.57,2.2,240
2022-01-09 06:00:00,2.3,52.6,52.9,105.5,4,188,78,714.5,0,72,5.5,0,14.97,6.2,235
2022-01-09 12:00:00,0.85,14,27.8,41.7,44,155,36,717.1,0,37,10.4,0.333,24.05,11.2,15
2022-01-09 18:00:00,0.89,23.3,29.7,52.9,18,49,13,718.2,0,52,5.4,0.027,22.62,10.6,30
2022-01-10 00:00:00,0.43,6.8,12.5,19.3,29,61,8,722.5,0,30,5.7,0,17.99,14,29
2022-01-10 06:00:00,0.5,17.8,15.9,33.7,20,70,2,724.4,0,40,5.4,0,12.41,15.9,17
2022-01-10 12:00:00,0.91,57.6,24.8,82.5,12,93,13,726.8,0,39,6.4,0.073,11.79,13.9,11
2022-01-10 18:00:00,0.93,47.1,30.5,77.6,11,57,10,724.7,0,35,6.8,0.006,13.1,7.5,44
2022-01-11 00:00:00,0.51,12.5,19.5,32,18,23,9,726.3,0,49,4.8,0,11.51,5.1,17
2022-01-11 06:00:00,0.54,21.2,22.8,44,19,19,5,724.5,0,37,5,0,11.14,10.3,1
2022-01-11 12:00:00,1.02,72.6,33,105.5,11,57,16,725,0,35,5.7,0.111,12.39,8,7
2022-01-11 18:00:00,0.61,9,25.4,34.4,27,42,18,721.6,0,40,9,0.044,13.62,8.8,78
2022-01-12 00:00:00,0.52,4,31.8,35.9,11,31,4,722.3,0,47,7.2,0,10.35,3.3,167
2022-01-12 06:00:00,0.86,62,35.7,97.7,5,88,22,720.7,0,54,6.2,0,9.17,3.5,270
2022-01-12 12:00:00,1.49,71.1,40.9,112,11,86,35,720.5,0,40,11.1,0.115,13.77,7,27
2022-01-12 18:00:00,1.1,25,60,84.8,9,118,30,718.5,0,35,15.5,0.041,17.18,3.5,111
2022-01-13 00:00:00,1.42,102.4,42.2,144.7,5,65,9,720.1,0,61,5.8,0,10.9,3.6,347
2022-01-13 06:00:00,1.61,118.2,48.7,166.9,7.8,193,51,718.6,0,61,7.4,0,10.17,5,261
2022-01-13 12:00:00,2.21,88,90.2,178.2,18,172,68,719.3,0,31,17.1,0.33,22.19,6.3,16
