Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2021-01-01 00:00:00,2.28,59.5,0.5,59.8,25.0,56.0,16.36,705.56,3.388131789017201e-21,38.0,13.0,0.0,12.09,4.6,10.00000000000001
2021-01-01 06:00:00,2.6,24.0,0.3000000000000007,24.3,8.799999999999999,79.0,40.31,700.3,0.0,80.0,14.3,0.0,2.82,1.300000000000001,9.0
2021-01-01 12:00:00,2.26,40.5,0.5,40.7,25.0,59.0,16.98,703.2,0.0,62.0,14.0,0.4860000000000007,9.04,9.4,10.39999999999998
2021-01-01 18:00:00,2.19,56.7,0.5999999999999996,57.0,25.0,43.0,12.46,702.8,0.0,62.0,12.8,0.02500000000000036,9.75,7.6,10.59999999999999
2021-01-02 00:00:00,2.63,52.0,0.5999999999999996,52.3,11.0,51.0,17.0,706.2,0.0,68.0,13.48,0.0,8.09,1.4,11.0
2021-01-02 06:00:00,2.07,32.6,0.5,32.9,11.0,33.0,12.32,707.0,0.0,72.0,13.1,0.0,5.09,1.300000000000001,10.0
2021-01-02 12:00:00,2.03,56.5,0.09999999999999964,56.6,31.0,30.0,8.900000000000002,707.9,0.0,44.0,11.7,0.5009999999999994,13.68,4.4,9.399999999999991
2021-01-02 18:00:00,2.51,50.7,0.5,50.9,25.0,73.0,22.33,705.0,0.0,36.0,12.3,0.05100000000000016,15.98,5.0,11.0
2021-01-03 00:00:00,2.8,51.7,0.5999999999999996,51.9,12.0,65.0,20.38,705.4,0.0,59.0,12.9,0.0,8.3,2.96,9.0
2021-01-03 06:00:00,2.13,33.1,0.5,33.4,9.0,54.0,19.36,705.2,0.0,64.0,13.7,0.0,6.650000000000002,7.6,10.00000000000001
2021-01-03 12:00:00,2.11,55.8,0.09999999999999964,55.9,34.0,44.0,11.72,705.4,0.0,33.0,12.9,0.4700000000000006,17.02,14.1,10.39999999999998
2021-01-03 18:00:00,2.55,55.7,0.5,55.9,38.0,84.0,20.31,702.3,0.0,24.0,13.0,0.04299999999999748,20.89,2.8,10.0
2021-01-04 00:00:00,2.63,40.7,0.5999999999999996,40.9,12.0,91.0,19.42,703.5,0.0,42.0,15.0,0.0,11.32,1.300000000000001,10.59999999999999
2021-01-04 06:00:00,2.08,40.8,0.5,41.0,15.0,30.0,7.32,703.2,0.0,37.0,14.1,0.0,9.82,8.1,10.40000000000001
2021-01-04 12:00:00,2.18,54.5,0.5,54.8,30.0,54.0,6.299999999999999,704.0,0.0,16.0,13.4,0.5240000000000009,21.87,14.0,12.0
2021-01-04 18:00:00,2.21,55.10000000000001,0.1999999999999993,55.3,45.0,65.0,10.2,703.0,0.0,11.0,12.9,0.05799999999999983,24.61,4.4,10.39999999999998
2021-01-05 00:00:00,2.59,62.0,0.09999999999999964,62.1,18.0,51.0,8.42,704.7,0.0,31.0,13.2,0.0,14.32,1.98,9.0
2021-01-05 06:00:00,2.38,51.0,0.5999999999999996,51.2,9.0,39.0,10.16,704.0,0.0,44.0,13.8,0.0,9.34,1.300000000000001,10.39999999999998
2021-01-05 12:00:00,2.18,54.5,0.5,54.7,41.0,74.0,9.45,703.9,0.0,24.0,14.0,0.5009999999999994,21.32,4.3,10.19999999999999
2021-01-05 18:00:00,2.27,54.7,0.1999999999999993,54.90000000000001,50.0,66.0,8.27,701.4,0.0,32.0,13.9,0.04199999999999982,20.84,12.2,10.0
2021-01-06 00:00:00,3.0,59.3,0.5,59.5,12.0,62.0,12.16,700.8,0.0,54.0,14.2,0.0,14.57,2.2,9.0
2021-01-06 06:00:00,2.25,61.3,0.5999999999999996,61.60000000000001,18.0,42.0,9.78,699.9,0.0,54.0,14.7,0.0,12.56,6.8,10.00000000000001
2021-01-06 12:00:00,2.34,55.8,0.5,56.0,43.0,48.0,9.59,701.8,0.0,28.0,14.4,0.2690000000000001,21.01,15.5,11.0
2021-01-06 18:00:00,2.07,57.60000000000001,0.1999999999999993,57.8,39.0,113.0,8.25,702.1,0.0,30.0,13.2,0.04199999999999982,19.28,9.8,10.0
2021-01-07 00:00:00,2.13,62.3,0.1999999999999993,62.5,15.0,95.0,9.31,706.0,0.0,43.0,12.8,0.0,11.53,1.300000000000001,9.0
2021-01-07 06:00:00,2.1,33.8,0.5999999999999996,34.1,10.0,39.0,7.220000000000001,705.7,0.0,53.0,14.1,0.0,8.39,1.8,10.59999999999999
2021-01-07 12:00:00,2.22,56.8,0.5,57.09999999999999,24.0,84.0,15.92,706.3,0.0,29.0,13.8,0.4969999999999999,18.69,2.1,9.799999999999955
2021-01-07 18:00:00,2.27,57.8,0.09999999999999964,57.9,51.0,67.0,8.559999999999999,703.8,0.0,26.0,14.4,0.06199999999999939,19.04,8.0,10.39999999999998
2021-01-08 00:00:00,2.72,62.60000000000001,0.5,62.8,13.0,56.0,10.67,705.3,0.0,38.0,13.9,0.0,10.48,1.300000000000001,10.0
2021-01-08 06:00:00,2.43,31.5,0.5,31.7,9.0,51.0,10.5,705.7,0.0,48.0,14.4,0.0,6.539999999999999,3.040000000000001,11.0
