Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2021-01-01 00:00:00,1.776,5.1,6.1,10.9,23.4,141.68,102.61,716.72,0.0,63.0,12.7,2.220446049250313e-16,9.41,9.4,144.0
2021-01-01 06:00:00,1.862,5.74,6.119999999999999,11.16,4.800000000000004,66.16,46.41,711.9,0.0,80.0,12.7,0.002000000000000002,4.050000000000001,0.5999999999999996,299.0
2021-01-01 12:00:00,1.0,5.1,6.0,10.9,31.0,45.95,27.06,714.8,0.0,59.0,14.5,0.5759999999999998,10.76,3.0,219.0
2021-01-01 18:00:00,0.5800000000000001,5.0,6.1,10.9,36.4,51.72,29.68,714.2,0.0,61.0,15.0,0.02099999999999991,10.75,6.5,124.0
2021-01-02 00:00:00,0.8640000000000002,4.52,6.880000000000001,11.62,30.6,81.42,40.07,717.6,0.0,61.0,17.5,0.002000000000000002,10.2,0.6999999999999993,50.0
2021-01-02 06:00:00,0.3900000000000001,5.0,6.1,10.8,35.0,38.72,20.42,718.6,0.0,69.0,14.7,0.002000000000000002,6.539999999999999,0.09999999999999964,45.0
2021-01-02 12:00:00,0.7419999999999999,4.9,6.0,10.8,37.8,50.26,25.13,719.4,0.0,48.0,17.4,0.5330000000000001,14.6,0.9000000000000004,306.0
2021-01-02 18:00:00,1.754,5.46,6.119999999999999,11.66,34.2,69.0,33.37,716.2,0.0,38.0,15.7,0.03200000000000003,17.14,6.4,119.0
2021-01-03 00:00:00,2.542,5.699999999999999,6.14,11.64,4.599999999999998,167.3,88.6,716.8,0.0,56.0,14.9,0.002000000000000002,11.05,0.5,296.0
2021-01-03 06:00:00,0.83,5.1,6.1,11.0,29.2,101.66,47.29,716.6,0.0,64.0,12.6,0.002000000000000002,8.079999999999998,4.8,319.0
2021-01-03 12:00:00,1.812,5.0,6.1,10.9,54.59999999999999,57.46,31.2,716.6,0.0,37.0,13.9,0.429,18.48,2.600000000000001,24.0
2021-01-03 18:00:00,2.024,5.2,5.799999999999999,11.0,46.2,89.69,41.03,713.3,0.0,32.0,13.1,0.03600000000000003,21.26,6.8,123.0
2021-01-04 00:00:00,2.036,5.1,6.1,10.9,29.6,172.68,78.68,714.6,0.0,51.0,15.1,0.002000000000000002,13.11,0.6999999999999993,275.0
2021-01-04 06:00:00,0.7199999999999999,4.8,6.1,10.7,40.6,42.28,16.67,714.2,0.0,36.0,13.4,0.002000000000000002,13.68,5.2,309.0
2021-01-04 12:00:00,1.252,5.1,6.1,11.0,49.2,61.05,16.64,714.9,0.0,17.0,14.3,0.5589999999999999,24.78,0.9000000000000004,222.0
2021-01-04 18:00:00,1.306,5.6,6.1,11.5,41.0,52.6,12.44,713.9,0.0,11.00000000000001,12.5,0.03699999999999992,25.5,6.2,113.0
2021-01-05 00:00:00,2.168,5.48,6.100000000000001,11.36,25.4,99.28,41.32,715.6,0.0,40.0,16.2,0.002000000000000002,16.03,0.09999999999999964,272.0
2021-01-05 06:00:00,1.692,5.22,6.080000000000001,11.1,24.0,88.41,30.46,715.0,0.0,50.0,14.9,0.002000000000000002,11.84,1.9,291.0
2021-01-05 12:00:00,1.408,5.1,6.2,11.0,57.2,90.51,36.17,715.1,0.0,26.0,18.8,0.5370000000000001,21.14,6.7,144.0
2021-01-05 18:00:00,1.516,5.3,6.2,11.4,56.2,45.2,15.94,712.3,0.0,33.0,14.3,0.03899999999999992,22.38,9.1,94.0
2021-01-06 00:00:00,1.432,4.9,6.1,10.7,42.8,62.63,25.92,711.5,0.0,57.0,14.5,0.002000000000000002,16.73,1.380000000000001,287.0
2021-01-06 06:00:00,1.246,4.9,6.1,10.7,34.2,52.52,22.12,711.0,0.0,65.0,13.3,0.002000000000000002,13.08,0.6999999999999993,54.0
2021-01-06 12:00:00,1.55,4.9,6.1,10.8,34.8,154.81,23.86,712.3,0.0,28.0,13.5,0.343,24.13,3.7,303.0
2021-01-06 18:00:00,1.024,5.2,6.1,11.0,57.0,42.75,7.379999999999999,712.9,0.0,31.0,13.0,0.03100000000000014,20.38,14.3,54.0
2021-01-07 00:00:00,0.3399999999999999,4.9,6.0,10.7,46.0,36.72,8.6,717.0,0.0,40.0,13.7,0.002000000000000002,14.55,5.2,181.0
2021-01-07 06:00:00,1.356,5.100000000000001,6.080000000000001,11.24,27.0,85.29,22.67,717.1,0.0,51.0,15.1,0.002000000000000002,10.64,2.06,270.0
2021-01-07 12:00:00,1.078,5.0,6.0,10.8,37.2,75.02,24.45,717.7,0.0,35.0,17.1,0.534,18.06,7.1,125.0
2021-01-07 18:00:00,1.57,5.0,5.9,10.9,54.0,45.38,12.01,715.0,0.0,28.0,15.4,0.05400000000000005,20.21,11.0,104.0
2021-01-08 00:00:00,1.244,5.26,6.02,11.06,30.2,44.78,14.68,716.5,0.0,32.0,13.5,0.002000000000000002,14.14,1.1,329.0
2021-01-08 06:00:00,0.866,4.9,6.1,10.8,41.0,62.48,15.95,716.9,0.0,48.0,14.0,0.002000000000000002,9.81,2.079999999999999,288.0
2021-01-08 12:00:00,0.8620000000000001,4.9,6.1,10.8,40.4,63.2,19.48,718.7,0.0,38.0,20.9,0.526,16.5,10.3,107.0
2021-01-08 18:00:00,0.922,5.2,5.9,11.1,39.4,48.03,12.95,716.5,0.0,43.0,17.4,0.04800000000000004,17.72,14.2,95.0
2021-01-09 00:00:00,0.4119999999999999,2.279999999999999,6.42,8.600000000000001,35.6,30.17,12.38,718.1,0.0,74.0,14.2,0.002000000000000002,12.25,15.8,94.0
2021-01-09 06:00:00,0.4260000000000002,4.8,6.1,10.7,31.6,20.17000000000001,15.77,716.9,0.0,91.0,13.5,0.002000000000000002,9.72,8.0,100.0
2021-01-09 12:00:00,0.3600000000000001,4.9,5.799999999999999,10.7,36.4,12.3,9.18,718.0,0.0,93.0,13.6,0.09800000000000009,10.01,8.5,120.0
2021-01-09 18:00:00,0.4179999999999999,4.8,6.0,10.6,31.6,27.97,23.26,715.3,0.0,95.0,13.9,0.006000000000000005,9.54,9.2,110.0
2021-01-10 00:00:00,0.7779999999999999,4.9,6.0,10.7,27.2,31.2,23.2,715.0,0.0,97.0,13.9,0.002000000000000002,9.36,1.5,216.0
2021-01-10 06:00:00,0.842,4.6,6.0,11.32,28.4,16.13,12.88,712.9,0.0,98.0,13.8,0.002000000000000002,10.01,0.8000000000000007,286.0
2021-01-10 12:00:00,0.5740000000000001,4.7,6.1,10.6,29.4,38.31,22.16,714.9,0.0,78.0,15.4,0.4080000000000001,15.05,3.3,215.0
2021-01-10 18:00:00,0.4119999999999999,2.9,6.160000000000001,8.979999999999997,35.6,22.01,13.02,716.4,0.0,77.0,13.0,0.03400000000000003,10.19,16.6,41.00000000000001
2021-01-11 00:00:00,0.3360000000000001,5.1,6.0,10.9,35.6,16.4,12.23,721.2,0.0,84.0,13.1,0.002000000000000002,6.580000000000002,20.2,41.00000000000001
2021-01-11 06:00:00,0.518,4.08,5.720000000000001,9.639999999999999,31.6,10.81,7.85,721.3,0.0,82.0,13.4,0.002000000000000002,5.260000000000002,3.5,29.0
2021-01-11 12:00:00,0.7220000000000001,4.94,6.240000000000001,10.8,23.6,25.34,13.97,723.2,0.0,76.0,12.3,0.1040000000000001,4.91,2.2,318.0
2021-01-11 18:00:00,0.3920000000000001,5.0,5.799999999999999,10.8,36.2,44.32,21.0,720.4,0.0,68.0,14.1,0.01200000000000001,6.82,4.9,79.0
2021-01-12 00:00:00,0.3820000000000001,4.64,7.04,11.84,34.0,39.82,25.57,722.0,0.0,78.0,13.1,0.002000000000000002,5.73,6.3,129.0
2021-01-12 06:00:00,0.3380000000000001,3.42,6.32,9.52,35.4,23.75,16.65,720.7,0.0,73.0,15.9,0.002000000000000002,5.349999999999998,0.09999999999999964,89.0
2021-01-12 12:00:00,0.3079999999999998,4.9,6.0,10.7,33.8,36.88,20.93,722.3,0.0,66.0,16.0,0.175,6.739999999999998,2.500000000000001,289.0
2021-01-12 18:00:00,0.4740000000000002,4.8,6.0,10.6,33.8,79.11,40.01,719.8,0.0,68.0,14.9,0.03800000000000003,8.560000000000002,4.7,141.0
2021-01-13 00:00:00,1.154,4.6,6.0,10.4,9.400000000000002,202.28,87.64,720.9,0.0,75.0,18.0,0.002000000000000002,5.050000000000001,0.4000000000000004,304.0
2021-01-13 06:00:00,0.552,3.6,5.700000000000001,9.3,36.6,50.03,30.23,719.4,0.0,66.0,13.7,0.002000000000000002,6.219999999999999,3.1,282.0
2021-01-13 12:00:00,0.7480000000000001,4.8,6.1,10.8,41.0,67.2,28.45,718.6,0.0,38.0,16.1,0.5189999999999999,16.49,5.1,138.0
2021-01-13 18:00:00,1.482,5.1,6.1,12.02,29.6,67.02,27.38,715.1,0.0,37.0,14.2,0.06999999999999984,19.06,6.7,128.0
2021-01-14 00:00:00,2.036,4.8,6.0,10.6,29.6,145.69,57.9,715.0,0.0,58.0,16.0,0.002000000000000002,11.47,0.5999999999999996,306.0
2021-01-14 06:00:00,0.706,4.8,5.9,10.7,37.8,59.53,21.95,712.6,0.0,46.0,14.1,0.002000000000000002,10.99,1.9,182.0
2021-01-14 12:00:00,1.336,5.1,6.1,10.9,56.40000000000001,51.74,8.08,712.5,0.0,9.0,14.4,0.5450000000000002,25.45,15.4,295.0
2021-01-14 18:00:00,1.36,6.0,6.2,11.9,52.0,27.05,6.409999999999998,711.2,0.0,3.0,12.7,0.08499999999999996,27.05,8.4,298.0
2021-01-15 00:00:00,0.5900000000000001,4.9,6.0,10.7,40.6,76.84,11.31,715.3,0.0,30.0,14.0,0.002000000000000002,16.92,21.7,25.00000000000001
2021-01-15 06:00:00,0.8019999999999999,4.8,6.1,10.7,41.2,100.24,18.89,716.4,0.0,43.0,15.4,0.002000000000000002,11.51,0.1999999999999993,284.0
2021-01-15 12:00:00,2.216,5.0,6.1,10.9,46.40000000000001,165.34,76.76000000000002,717.9,0.0,31.0,17.6,0.536,14.87,7.7,115.0
2021-01-15 18:00:00,1.634,5.38,6.02,11.26,41.6,61.05,16.1,715.6,0.0,26.0,17.2,0.06999999999999984,17.1,8.1,107.0
2021-01-16 00:00:00,1.212,4.8,6.1,10.76,33.4,79.13,27.48,718.2,0.0,32.0,15.2,0.002000000000000002,10.44,0.8599999999999994,273.0
2021-01-16 06:00:00,0.7260000000000001,4.8,6.0,10.6,35.6,87.67,19.47,717.3,0.0,44.0,15.3,0.002000000000000002,7.32,1.499999999999998,282.0
2021-01-16 12:00:00,0.9259999999999999,4.9,6.1,10.8,35.2,76.41,25.14,716.7,0.0,25.0,22.7,0.55,16.12,4.9,151.0
2021-01-16 18:00:00,1.448,5.1,6.0,10.9,53.2,51.04,14.8,712.3,0.0,30.0,15.0,0.06099999999999994,18.99,9.8,98.0
2021-01-17 00:00:00,1.816,5.0,6.0,10.8,35.0,221.86,128.53,711.8,0.0,47.0,17.0,0.002000000000000002,12.48,1.319999999999999,309.0
2021-01-17 06:00:00,1.12,5.0,6.1,10.9,33.2,65.13,29.78,713.7,0.0,50.0,15.0,0.002000000000000002,11.35,3.0,315.0
2021-01-17 12:00:00,1.112,5.1,6.1,10.9,38.4,58.98,24.77,715.5,0.0,27.0,15.9,0.544,20.92,1.699999999999999,191.0
2021-01-17 18:00:00,1.564,5.3,6.1,11.2,58.4,51.59,17.74,713.9,0.0,27.0,15.1,0.08000000000000007,21.93,9.8,100.0
2021-01-18 00:00:00,0.494,5.0,6.0,10.8,24.4,92.28,38.28,714.9,0.0,47.0,13.66,0.002000000000000002,13.86,0.09999999999999964,285.0
2021-01-18 06:00:00,1.018,5.1,6.1,11.0,26.0,108.92,33.62,713.8,0.0,56.0,15.0,0.002000000000000002,10.64,1.4,311.0
2021-01-18 12:00:00,1.866,5.1,6.1,11.0,59.0,105.04,47.51,713.2,0.0,29.0,19.5,0.5530000000000002,21.57,2.600000000000001,141.0
2021-01-18 18:00:00,1.718,5.4,6.1,11.44,52.2,42.18,13.27,710.0,0.0,29.0,15.0,0.08099999999999996,24.73,8.6,105.0
2021-01-19 00:00:00,1.812,5.159999999999999,6.1,11.06,12.6,73.15,30.96,710.7,0.0,60.0,16.1,0.002000000000000002,17.07,0.09999999999999964,306.0
2021-01-19 06:00:00,1.236,4.9,6.1,10.7,22.4,53.49,28.45,711.3,0.0,84.0,14.3,0.002000000000000002,13.85,1.800000000000001,304.0
