Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2024-01-01 00:00:00,5.76,69.0,54.2,123.3,20.0,357.0,347.0,715.0,8.673617379884035e-19,52.0,8.4,0.0,16.04,4.8,230.0
2024-01-01 06:00:00,2.59,12.2,37.9,50.0,12.0,238.0,104.0,715.3,8.673617379884035e-19,42.0,5.7,0.0,16.14,10.3,231.0
2024-01-01 12:00:00,1.44,8.9,15.3,24.2,34.0,81.0,30.0,718.5,8.673617379884035e-19,31.0,5.5,0.24,21.41,7.3,26.0
2024-01-01 18:00:00,1.46,15.5,22.6,38.1,27.0,39.0,9.0,716.9,8.673617379884035e-19,54.0,4.4,0.016,20.33,11.0,21.0
2024-01-02 00:00:00,1.28,3.899999999999999,16.1,20.0,33.0,28.0,12.0,716.9,8.673617379884035e-19,68.0,6.8,0.0,16.55,9.0,83.0
2024-01-02 06:00:00,1.33,25.5,20.7,46.2,12.0,44.0,25.0,715.6,8.673617379884035e-19,87.0,3.0,0.0,14.01,7.5,32.0
2024-01-02 12:00:00,2.18,96.4,23.1,119.5,11.0,33.0,13.0,715.4,0.01,89.0,3.3,0.03,14.69,6.2,24.0
2024-01-02 18:00:00,2.11,61.4,37.5,98.9,14.0,86.0,42.0,712.7,8.673617379884035e-19,75.0,3.7,0.006000000000000005,17.04,6.5,10.99999999999999
2024-01-03 00:00:00,1.69,51.8,20.6,72.4,11.0,99.0,14.0,714.5,8.673617379884035e-19,84.0,3.0,0.0,12.87,5.7,16.0
2024-01-03 06:00:00,1.29,38.5,19.9,58.4,12.0,22.0,10.0,715.9,8.673617379884035e-19,86.0,2.8,0.0,11.36,7.8,8.0
2024-01-03 12:00:00,2.46,43.6,31.0,74.5,23.0,118.0,32.0,717.2,8.673617379884035e-19,62.0,3.4,0.281,17.51,7.6,8.0
2024-01-03 18:00:00,1.39,5.399999999999999,28.7,34.2,37.0,46.0,21.0,714.9,8.673617379884035e-19,50.0,7.2,0.02200000000000002,18.69,10.0,96.0
2024-01-04 00:00:00,1.42,4.199999999999999,20.2,24.4,34.0,27.0,9.0,716.0,8.673617379884035e-19,57.0,3.2,0.0,14.23,9.2,93.0
2024-01-04 06:00:00,1.23,9.3,15.0,24.2,23.0,26.0,3.0,714.6,8.673617379884035e-19,86.0,2.6,0.0,8.860000000000001,6.6,70.0
2024-01-04 12:00:00,1.45,23.9,22.0,45.9,18.0,33.0,9.0,713.8,8.673617379884035e-19,85.0,2.8,0.048,9.64,7.0,59.0
2024-01-04 18:00:00,1.62,31.1,27.5,58.6,16.0,34.0,13.0,710.1,8.673617379884035e-19,81.0,4.9,0.006000000000000005,11.16,5.4,33.0
2024-01-05 00:00:00,1.73,27.7,28.7,56.3,13.0,36.0,11.0,710.9,8.673617379884035e-19,86.0,3.0,0.0,12.52,6.1,317.0
2024-01-05 06:00:00,1.3,14.4,23.3,37.7,16.0,33.0,10.0,710.9,8.673617379884035e-19,75.0,2.8,0.0,11.27,6.3,5.0
2024-01-05 12:00:00,1.67,27.7,22.9,50.6,30.0,48.0,29.0,711.6,8.673617379884035e-19,44.0,3.4,0.319,19.44,7.8,53.00000000000001
2024-01-05 18:00:00,1.38,3.899999999999999,26.1,30.0,48.0,54.0,11.0,709.7,8.673617379884035e-19,35.0,3.1,0.045,20.93,8.1,106.0
2024-01-06 00:00:00,1.52,50.0,41.1,91.0,12.0,49.0,2.0,710.9,8.673617379884035e-19,52.0,5.2,0.0,14.24,2.5,301.0
2024-01-06 06:00:00,1.84,112.2,36.3,148.6,12.0,136.0,28.0,710.1,8.673617379884035e-19,64.0,4.3,0.0,11.14,3.5,270.0
2024-01-06 12:00:00,1.8,33.5,31.2,64.7,31.0,112.0,28.0,712.3,8.673617379884035e-19,37.0,6.0,0.319,19.67,7.3,20.0
2024-01-06 18:00:00,1.46,4.899999999999999,33.7,38.6,48.0,60.0,30.0,711.9,8.673617379884035e-19,40.0,18.9,0.03599999999999999,20.02,5.7,65.0
2024-01-07 00:00:00,2.19,33.6,42.3,75.8,12.0,112.0,32.0,715.0,8.673617379884035e-19,52.0,4.4,0.0,15.99,1.899999999999999,158.0
2024-01-07 06:00:00,1.56,26.2,36.7,62.8,18.2,66.0,16.0,714.9,8.673617379884035e-19,58.0,6.1,0.0,13.94,6.6,19.0
2024-01-07 12:00:00,1.57,20.0,25.1,45.1,24.0,51.0,20.0,714.6,8.673617379884035e-19,75.0,5.9,0.077,14.43,8.7,40.0
2024-01-07 18:00:00,2.09,24.0,33.1,57.1,19.0,81.0,23.0,710.2,8.673617379884035e-19,70.0,4.2,0.00399999999999999,17.16,8.6,57.0
2024-01-08 00:00:00,1.42,4.5,17.0,21.5,28.0,22.0,9.0,707.6,8.673617379884035e-19,77.0,3.0,0.0,16.25,5.6,98.0
2024-01-08 06:00:00,1.57,33.4,25.8,59.2,12.0,43.0,2.0,704.0,8.673617379884035e-19,83.0,2.9,0.0,13.86,3.3,270.0
2024-01-08 12:00:00,2.84,73.7,63.3,137.0,22.0,173.0,50.0,703.8,8.673617379884035e-19,47.0,8.6,0.322,24.4,7.5,35.0
2024-01-08 18:00:00,1.61,26.6,49.1,75.6,27.0,67.0,22.0,701.3,8.673617379884035e-19,21.0,8.4,0.05300000000000001,29.12,5.0,63.0
2024-01-09 00:00:00,1.19,11.2,16.2,27.3,34.0,87.0,16.8,711.3,8.673617379884035e-19,27.0,3.3,0.0,13.85,14.3,10.99999999999999
2024-01-09 06:00:00,1.27,9.2,28.5,37.6,22.0,118.0,14.0,712.9,8.673617379884035e-19,21.0,2.8,0.0,12.11,5.7,97.0
2024-01-09 12:00:00,1.47,22.1,25.5,47.6,31.0,129.0,30.0,715.2,8.673617379884035e-19,18.0,3.5,0.319,17.04,6.8,86.0
2024-01-09 18:00:00,1.29,5.800000000000001,24.5,30.3,36.0,137.0,17.0,711.9,8.673617379884035e-19,23.0,3.6,0.042,16.49,10.8,104.0
2024-01-10 00:00:00,1.44,16.2,30.4,46.6,20.0,141.0,13.0,712.4,8.673617379884035e-19,29.0,3.5,0.0,11.73,3.9,107.0
2024-01-10 06:00:00,1.6,111.8,37.5,149.4,13.0,163.0,32.0,710.6,8.673617379884035e-19,41.0,6.2,0.0,8.480000000000002,4.4,8.0
2024-01-10 12:00:00,2.07,48.1,40.7,88.7,25.0,179.0,46.0,710.3,8.673617379884035e-19,22.0,6.0,0.37,19.13,7.5,299.0
2024-01-10 18:00:00,1.9,12.4,48.9,61.2,25.0,170.0,30.0,708.5,8.673617379884035e-19,28.0,4.6,0.02499999999999999,19.97,5.9,82.0
2024-01-11 00:00:00,4.32,226.2,56.5,282.5,14.0,230.0,55.0,708.7,8.673617379884035e-19,50.0,5.3,0.0,13.23,3.5,249.0
2024-01-11 06:00:00,2.25,140.8,49.4,190.0,13.0,176.0,18.0,707.3,8.673617379884035e-19,41.0,5.8,0.0,13.04,5.0,282.0
2024-01-11 12:00:00,2.91,97.9,70.2,168.0,21.0,160.0,25.0,707.7,8.673617379884035e-19,16.0,7.0,0.367,27.53,5.1,54.0
2024-01-11 18:00:00,1.75,6.9,45.8,52.6,35.0,99.0,12.0,704.3,8.673617379884035e-19,16.0,5.2,0.031,27.48,7.2,148.0
2024-01-12 00:00:00,3.74,171.9,60.8,232.6,13.0,180.0,47.0,704.7,8.673617379884035e-19,35.0,7.0,0.0,18.7,5.4,357.0
2024-01-12 06:00:00,1.2,16.1,20.2,36.3,29.0,64.0,35.0,708.0,8.673617379884035e-19,19.0,3.4,0.0,19.49,14.5,31.0
2024-01-12 12:00:00,1.63,49.5,25.2,74.8,25.0,588.0,74.0,713.4,8.673617379884035e-19,25.0,5.2,0.271,19.26,10.3,25.0
2024-01-12 18:00:00,1.41,8.2,25.5,33.7,33.0,204.0,37.0,711.9,8.673617379884035e-19,24.0,3.2,0.03899999999999999,18.7,12.3,94.0
2024-01-13 00:00:00,1.26,3.699999999999999,24.1,27.8,30.0,70.0,4.0,713.6,8.673617379884035e-19,25.0,4.0,0.0,13.92,4.8,137.0
2024-01-13 06:00:00,1.57,63.8,38.7,102.5,12.0,119.0,24.0,713.3,8.673617379884035e-19,35.0,5.2,0.0,10.32,6.5,14.99999999999999
2024-01-13 12:00:00,1.99,37.7,38.0,75.6,30.0,193.0,38.0,714.4,8.673617379884035e-19,32.0,5.2,0.33,16.87,7.8,46.0
2024-01-13 18:00:00,1.37,6.9,22.7,29.6,41.0,111.0,27.0,712.7,8.673617379884035e-19,39.0,4.1,0.05500000000000001,19.45,8.3,77.0
2024-01-14 00:00:00,2.11,61.6,40.6,102.3,13.0,125.0,28.0,714.2,8.673617379884035e-19,59.0,4.0,0.0,14.12,4.9,6.999999999999986
