Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2025-01-01 00:00:00,2.64,4.0,17.7,21.0,43.0,67.0,34.728,705.72,0.0,,5.3,0.2864,18.62,6.0,
2025-01-01 06:00:00,2.94,7.5,26.8,34.2,7.0,82.0,71.7,704.3,0.0,69.0,4.4,0.0,12.38,2.6,60.0
2025-01-01 12:00:00,2.16,7.2,12.4,19.4,41.0,50.0,40.31,706.6,0.0,60.0,6.4,0.499,17.89,9.3,135.0
2025-01-01 18:00:00,2.23,3.699999999999999,11.2,14.7,40.0,52.0,35.85,705.2,0.0,67.0,4.9,0.016,16.96,13.0,114.0
2025-01-02 00:00:00,2.18,4.199999999999999,16.4,20.5,20.0,40.0,17.808,706.9,0.0,76.0,5.3,0.0,13.69,6.0,138.0
2025-01-02 06:00:00,2.13,3.300000000000001,17.7,20.8,12.0,37.0,29.64,706.4,0.0,80.0,5.4,0.0,13.15,6.4,96.0
2025-01-02 12:00:00,2.28,8.0,13.7,21.6,37.0,67.0,55.84,707.1,0.0,53.0,6.6,0.451,20.24,4.6,62.0
2025-01-02 18:00:00,2.85,6.599999999999999,37.7,44.2,34.0,101.0,68.59,705.1,0.0,63.0,5.6,0.016,18.92,7.9,128.0
2025-01-03 00:00:00,3.33,101.9,41.5,143.3,1.999999999999996,82.0,71.4,707.7,0.0,80.0,5.5,0.0,14.41,3.1,337.0
2025-01-03 06:00:00,2.73,70.7,30.0,100.6,1.999999999999996,98.0,80.63,707.2,0.0,79.0,4.7,0.0,11.62,2.7,335.0
2025-01-03 12:00:00,3.01,26.0,33.0,58.9,18.0,109.0,77.43,709.0,0.0,70.0,7.0,0.418,17.55,11.4,122.0
2025-01-03 18:00:00,2.34,4.9,14.8,19.5,33.0,45.0,35.65,706.7,0.0,67.0,5.0,0.019,18.01,9.8,126.0
2025-01-04 00:00:00,2.61,8.6,22.1,30.6,6.0,45.0,37.3,707.0,0.0,83.0,4.3,0.0,15.79,3.6,166.0
2025-01-04 06:00:00,2.48,11.3,18.5,29.7,1.999999999999996,58.0,44.24,704.8,0.0,85.0,4.0,0.0,12.95,1.9,271.0
2025-01-04 12:00:00,2.4,8.1,14.3,22.3,33.0,64.0,46.22,704.3,0.0,56.0,5.0,0.442,20.91,5.1,330.0
2025-01-04 18:00:00,2.98,6.9,36.4,43.1,38.0,87.0,66.35,700.7,0.0,64.0,5.1,0.01300000000000001,20.78,5.7,189.0
2025-01-05 00:00:00,4.4,75.0,34.0,108.9,1.999999999999996,164.0,82.63,700.4,0.0,76.0,4.6,0.0,15.99,2.7,327.0
2025-01-05 06:00:00,2.81,32.1,24.9,56.8,1.999999999999996,64.0,55.96000000000001,698.8,0.0,77.0,4.1,0.0,13.6,4.6,268.0
2025-01-05 12:00:00,1.284,3.979999999999999,14.86,18.72,13.4,37.0,13.658,701.78,0.0,,5.7,0.0,,,
2025-01-05 18:00:00,2.29,4.699999999999999,11.3,15.6,36.0,80.0,20.93,699.7,0.0,30.0,4.7,0.03,23.84,14.5,129.0
2025-01-06 00:00:00,2.16,3.9,10.3,14.0,35.0,34.0,12.72,704.4,0.0,34.0,4.5,0.0,18.89,12.6,119.0
2025-01-06 06:00:00,2.06,3.199999999999999,11.7,14.6,24.0,23.0,7.039999999999999,707.2,0.0,37.0,4.7,0.0,10.42,10.7,112.0
2025-01-06 12:00:00,2.35,19.8,17.9,37.6,18.0,42.0,12.98,709.4,0.0,34.0,6.2,0.471,11.2,12.6,101.0
2025-01-06 18:00:00,2.37,5.9,25.9,31.7,26.0,55.0,19.51,706.1,0.0,35.0,5.8,0.015,12.75,12.6,99.0
2025-01-07 00:00:00,2.03,2.999999999999998,8.3,11.1,32.0,16.0,6.399999999999999,708.2,0.0,35.0,4.3,0.0,7.66,12.4,96.0
